,url,rev_count
415,deb://Debian/packages/python-xstatic-rickshaw,145
416,deb://Debian/packages/python-xstatic-roboto-fontface,406
417,deb://Debian/packages/python-xstatic-smart-table,408
418,deb://Debian/packages/python-xstatic-spin,145
419,deb://Debian/packages/python-xstatic-term.js,412
420,deb://Debian/packages/python-xvfbwrapper,281
421,deb://Debian/packages/python-yaql,227
422,deb://Debian/packages/python-zake,171
423,deb://Debian/packages/python-zaqarclient,227
424,deb://Debian/packages/python3-proselint,42
425,deb://Debian/packages/pywps,104
426,deb://Debian/packages/qbzr,76
427,deb://Debian/packages/qemu,338
428,deb://Debian/packages/quodlibet,64
429,deb://Debian/packages/radicale,162
430,deb://Debian/packages/rapid-photo-downloader,280
431,deb://Debian/packages/rasterio,51
432,deb://Debian/packages/relational,94
433,deb://Debian/packages/renpy,456
434,deb://Debian/packages/reportbug,472
435,deb://Debian/packages/retext,64
436,deb://Debian/packages/rhinote,222
437,deb://Debian/packages/rubber,85
438,deb://Debian/packages/s3cmd,66
439,deb://Debian/packages/sabnzbdplus,307
440,deb://Debian/packages/sagemath,505
441,deb://Debian/packages/sahara,291
442,deb://Debian/packages/schroot,64
443,deb://Debian/packages/scons,353
444,deb://Debian/packages/seahorse-adventures,1
445,deb://Debian/packages/shoogle,396
446,deb://Debian/packages/snowballz,345
447,deb://Debian/packages/solfege,236
448,deb://Debian/packages/sonata,214
449,deb://Debian/packages/soundconverter,138
450,deb://Debian/packages/spades,349
451,deb://Debian/packages/spambayes,8
452,deb://Debian/packages/spyder,208
453,deb://Debian/packages/ssake,229
454,deb://Debian/packages/streamtuner2,259
455,deb://Debian/packages/subunit,509
456,deb://Debian/packages/subversion,482
457,deb://Debian/packages/supybot,78
458,deb://Debian/packages/svn-workbench,310
459,deb://Debian/packages/swauth,792
460,deb://Debian/packages/swift,451
461,deb://Debian/packages/swift-bench,364
462,deb://Debian/packages/taskcoach,106
463,deb://Debian/packages/tempest,403
464,deb://Debian/packages/terminator,54
465,deb://Debian/packages/testrepository,145
466,deb://Debian/packages/thuban,21
467,deb://Debian/packages/tilecache,3
468,deb://Debian/packages/tilestache,20
469,deb://Debian/packages/tortoisehg,242
470,deb://Debian/packages/totalopenstation,129
471,deb://Debian/packages/trac,198
472,deb://Debian/packages/translate-toolkit,316
473,deb://Debian/packages/treeline,64
474,deb://Debian/packages/tryton-client,356
475,deb://Debian/packages/tryton-modules-account,409
476,deb://Debian/packages/tryton-modules-account-asset,406
477,deb://Debian/packages/tryton-modules-account-be,407
478,deb://Debian/packages/tryton-modules-account-credit-limit,406
479,deb://Debian/packages/tryton-modules-account-de-skr03,409
480,deb://Debian/packages/tryton-modules-account-deposit,411
481,deb://Debian/packages/tryton-modules-account-dunning,406
482,deb://Debian/packages/tryton-modules-account-dunning-letter,410
483,deb://Debian/packages/tryton-modules-account-fr,408
484,deb://Debian/packages/tryton-modules-account-invoice,310
485,deb://Debian/packages/tryton-modules-account-invoice-history,408
486,deb://Debian/packages/tryton-modules-account-invoice-line-standalone,408
487,deb://Debian/packages/tryton-modules-account-invoice-stock,412
